"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","Create user with mail.ru","LMS service","Mon Feb 02 10:21:05 UTC 2026","passed","Mon Feb 02 10:21:05 UTC 2026","TestUser","users","",""
"","267","Login with valid credentials","LMS service","Mon Feb 02 10:20:56 UTC 2026","passed","Mon Feb 02 10:20:56 UTC 2026","Login","authentication","",""
"","23","Get courses","Administration service","Mon Feb 02 10:20:57 UTC 2026","passed","Mon Feb 02 10:20:57 UTC 2026","TestCourses","courses","",""
"","24","Create course","Administration service","Mon Feb 02 10:20:58 UTC 2026","passed","Mon Feb 02 10:20:58 UTC 2026","TestCourses","courses","",""
"","269","Create user with gmail.com","LMS service","Mon Feb 02 10:21:05 UTC 2026","passed","Mon Feb 02 10:21:06 UTC 2026","TestUser","users","",""
"","17","Upload file","LMS service","Mon Feb 02 10:21:02 UTC 2026","passed","Mon Feb 02 10:21:02 UTC 2026","Create entity","files","",""
"","15","Get exercises","LMS service","Mon Feb 02 10:21:01 UTC 2026","passed","Mon Feb 02 10:21:01 UTC 2026","TestExercises","exercises","",""
"","14","Get user me","LMS service","Mon Feb 02 10:21:06 UTC 2026","passed","Mon Feb 02 10:21:06 UTC 2026","TestUser","users","",""
"","19","Create exercise","LMS service","Mon Feb 02 10:20:59 UTC 2026","passed","Mon Feb 02 10:20:59 UTC 2026","TestExercises","exercises","",""
"","18","Get exercise","LMS service","Mon Feb 02 10:20:59 UTC 2026","passed","Mon Feb 02 10:20:59 UTC 2026","TestExercises","exercises","",""
"","26","Update course","Administration service","Mon Feb 02 10:20:57 UTC 2026","passed","Mon Feb 02 10:20:57 UTC 2026","TestCourses","courses","",""
"","16","Upload file with empty file name","LMS service","Mon Feb 02 10:21:03 UTC 2026","passed","Mon Feb 02 10:21:03 UTC 2026","TestsFiles","files","",""
"","20","Delete exercise","LMS service","Mon Feb 02 10:21:01 UTC 2026","passed","Mon Feb 02 10:21:01 UTC 2026","TestExercises","exercises","",""
"","16","Upload file with empty directory","LMS service","Mon Feb 02 10:21:04 UTC 2026","passed","Mon Feb 02 10:21:04 UTC 2026","TestsFiles","files","",""
"","12","Get file","LMS service","Mon Feb 02 10:21:02 UTC 2026","passed","Mon Feb 02 10:21:02 UTC 2026","TestsFiles","files","",""
"","12","Get file with incorrect file id","LMS service","Mon Feb 02 10:21:05 UTC 2026","passed","Mon Feb 02 10:21:05 UTC 2026","TestsFiles","files","",""
"","18","Delete file","LMS service","Mon Feb 02 10:21:04 UTC 2026","passed","Mon Feb 02 10:21:04 UTC 2026","TestsFiles","files","",""
"","269","Create user with example.com","LMS service","Mon Feb 02 10:21:06 UTC 2026","passed","Mon Feb 02 10:21:06 UTC 2026","TestUser","users","",""
"","19","Update exercise","LMS service","Mon Feb 02 10:21:00 UTC 2026","passed","Mon Feb 02 10:21:00 UTC 2026","TestExercises","exercises","",""
