"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Upload file with empty file name","LMS service","Wed Feb 04 20:15:22 UTC 2026","passed","Wed Feb 04 20:15:22 UTC 2026","TestsFiles","files","",""
"","27","Update course","Administration service","Wed Feb 04 20:15:15 UTC 2026","passed","Wed Feb 04 20:15:15 UTC 2026","TestCourses","courses","",""
"","19","Create exercise","LMS service","Wed Feb 04 20:15:17 UTC 2026","passed","Wed Feb 04 20:15:17 UTC 2026","TestExercises","exercises","",""
"","16","Get exercise","LMS service","Wed Feb 04 20:15:18 UTC 2026","passed","Wed Feb 04 20:15:18 UTC 2026","TestExercises","exercises","",""
"","16","Upload file with empty directory","LMS service","Wed Feb 04 20:15:22 UTC 2026","passed","Wed Feb 04 20:15:22 UTC 2026","TestsFiles","files","",""
"","284","Create user with mail.ru","LMS service","Wed Feb 04 20:15:24 UTC 2026","passed","Wed Feb 04 20:15:24 UTC 2026","TestUser","users","",""
"","283","Create user with example.com","LMS service","Wed Feb 04 20:15:24 UTC 2026","passed","Wed Feb 04 20:15:25 UTC 2026","TestUser","users","",""
"","17","Upload file","LMS service","Wed Feb 04 20:15:21 UTC 2026","passed","Wed Feb 04 20:15:21 UTC 2026","Create entity","files","",""
"","19","Delete file","LMS service","Wed Feb 04 20:15:23 UTC 2026","passed","Wed Feb 04 20:15:23 UTC 2026","TestsFiles","files","",""
"","16","Get exercises","LMS service","Wed Feb 04 20:15:20 UTC 2026","passed","Wed Feb 04 20:15:20 UTC 2026","TestExercises","exercises","",""
"","18","Update exercise","LMS service","Wed Feb 04 20:15:19 UTC 2026","passed","Wed Feb 04 20:15:19 UTC 2026","TestExercises","exercises","",""
"","25","Get courses","Administration service","Wed Feb 04 20:15:16 UTC 2026","passed","Wed Feb 04 20:15:16 UTC 2026","TestCourses","courses","",""
"","14","Get file with incorrect file id","LMS service","Wed Feb 04 20:15:24 UTC 2026","passed","Wed Feb 04 20:15:24 UTC 2026","TestsFiles","files","",""
"","15","Get user me","LMS service","Wed Feb 04 20:15:25 UTC 2026","passed","Wed Feb 04 20:15:25 UTC 2026","TestUser","users","",""
"","285","Create user with gmail.com","LMS service","Wed Feb 04 20:15:24 UTC 2026","passed","Wed Feb 04 20:15:24 UTC 2026","TestUser","users","",""
"","12","Get file","LMS service","Wed Feb 04 20:15:21 UTC 2026","passed","Wed Feb 04 20:15:21 UTC 2026","TestsFiles","files","",""
"","26","Create course","Administration service","Wed Feb 04 20:15:17 UTC 2026","passed","Wed Feb 04 20:15:17 UTC 2026","TestCourses","courses","",""
"","18","Delete exercise","LMS service","Wed Feb 04 20:15:19 UTC 2026","passed","Wed Feb 04 20:15:19 UTC 2026","TestExercises","exercises","",""
"","282","Login with valid credentials","LMS service","Wed Feb 04 20:15:14 UTC 2026","passed","Wed Feb 04 20:15:15 UTC 2026","Login","authentication","",""
