"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Create course","Administration service","Mon Feb 02 09:41:00 UTC 2026","passed","Mon Feb 02 09:41:00 UTC 2026","TestCourses","courses","",""
"","21","Update exercise","LMS service","Mon Feb 02 09:41:02 UTC 2026","passed","Mon Feb 02 09:41:02 UTC 2026","TestExercises","exercises","",""
"","16","Get user me","LMS service","Mon Feb 02 09:41:09 UTC 2026","passed","Mon Feb 02 09:41:09 UTC 2026","TestUser","users","",""
"","28","Update course","Administration service","Mon Feb 02 09:40:59 UTC 2026","passed","Mon Feb 02 09:40:59 UTC 2026","TestCourses","courses","",""
"","283","Create user with mail.ru","LMS service","Mon Feb 02 09:41:08 UTC 2026","passed","Mon Feb 02 09:41:08 UTC 2026","TestUser","users","",""
"","12","Get file","LMS service","Mon Feb 02 09:41:05 UTC 2026","passed","Mon Feb 02 09:41:05 UTC 2026","TestsFiles","files","",""
"","285","Create user with gmail.com","LMS service","Mon Feb 02 09:41:08 UTC 2026","passed","Mon Feb 02 09:41:08 UTC 2026","TestUser","users","",""
"","15","Get exercise","LMS service","Mon Feb 02 09:41:02 UTC 2026","passed","Mon Feb 02 09:41:02 UTC 2026","TestExercises","exercises","",""
"","15","Get file with incorrect file id","LMS service","Mon Feb 02 09:41:08 UTC 2026","passed","Mon Feb 02 09:41:08 UTC 2026","TestsFiles","files","",""
"","20","Delete exercise","LMS service","Mon Feb 02 09:41:03 UTC 2026","passed","Mon Feb 02 09:41:03 UTC 2026","TestExercises","exercises","",""
"","21","Create exercise","LMS service","Mon Feb 02 09:41:01 UTC 2026","passed","Mon Feb 02 09:41:01 UTC 2026","TestExercises","exercises","",""
"","16","Upload file","LMS service","Mon Feb 02 09:41:04 UTC 2026","passed","Mon Feb 02 09:41:04 UTC 2026","Create entity","files","",""
"","283","Login with valid credentials","LMS service","Mon Feb 02 09:40:58 UTC 2026","passed","Mon Feb 02 09:40:58 UTC 2026","Login","authentication","",""
"","25","Get courses","Administration service","Mon Feb 02 09:41:00 UTC 2026","passed","Mon Feb 02 09:41:00 UTC 2026","TestCourses","courses","",""
"","16","Upload file with empty directory","LMS service","Mon Feb 02 09:41:06 UTC 2026","passed","Mon Feb 02 09:41:06 UTC 2026","TestsFiles","files","",""
"","17","Get exercises","LMS service","Mon Feb 02 09:41:04 UTC 2026","passed","Mon Feb 02 09:41:04 UTC 2026","TestExercises","exercises","",""
"","18","Delete file","LMS service","Mon Feb 02 09:41:07 UTC 2026","passed","Mon Feb 02 09:41:07 UTC 2026","TestsFiles","files","",""
"","283","Create user with example.com","LMS service","Mon Feb 02 09:41:08 UTC 2026","passed","Mon Feb 02 09:41:08 UTC 2026","TestUser","users","",""
"","19","Upload file with empty file name","LMS service","Mon Feb 02 09:41:06 UTC 2026","passed","Mon Feb 02 09:41:06 UTC 2026","TestsFiles","files","",""
