"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LMS service","0","files","5","0","","0"
"0","LMS service","0","exercises","5","0","","0"
"0","LMS service","0","users","4","0","","0"
"0","LMS service","0","authentication","1","0","Login","0"
"0","Administration service","0","courses","3","0","","0"
"0","LMS service","0","files","1","0","Create entity","0"
