"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Delete file","LMS service","Thu Feb 05 10:04:39 UTC 2026","passed","Thu Feb 05 10:04:39 UTC 2026","TestsFiles","files","",""
"","15","Get exercises","LMS service","Thu Feb 05 10:04:36 UTC 2026","passed","Thu Feb 05 10:04:36 UTC 2026","TestExercises","exercises","",""
"","284","Create user with gmail.com","LMS service","Thu Feb 05 10:04:40 UTC 2026","passed","Thu Feb 05 10:04:40 UTC 2026","TestUser","users","",""
"","14","Get user me","LMS service","Thu Feb 05 10:04:41 UTC 2026","passed","Thu Feb 05 10:04:41 UTC 2026","TestUser","users","",""
"","16","Upload file with empty directory","LMS service","Thu Feb 05 10:04:38 UTC 2026","passed","Thu Feb 05 10:04:38 UTC 2026","TestsFiles","files","",""
"","282","Create user with mail.ru","LMS service","Thu Feb 05 10:04:40 UTC 2026","passed","Thu Feb 05 10:04:40 UTC 2026","TestUser","users","",""
"","282","Login with valid credentials","LMS service","Thu Feb 05 10:04:30 UTC 2026","passed","Thu Feb 05 10:04:30 UTC 2026","Login","authentication","",""
"","16","Get exercise","LMS service","Thu Feb 05 10:04:34 UTC 2026","passed","Thu Feb 05 10:04:34 UTC 2026","TestExercises","exercises","",""
"","18","Upload file with empty file name","LMS service","Thu Feb 05 10:04:38 UTC 2026","passed","Thu Feb 05 10:04:38 UTC 2026","TestsFiles","files","",""
"","25","Create course","Administration service","Thu Feb 05 10:04:32 UTC 2026","passed","Thu Feb 05 10:04:32 UTC 2026","TestCourses","courses","",""
"","19","Update exercise","LMS service","Thu Feb 05 10:04:34 UTC 2026","passed","Thu Feb 05 10:04:34 UTC 2026","TestExercises","exercises","",""
"","15","Upload file","LMS service","Thu Feb 05 10:04:36 UTC 2026","passed","Thu Feb 05 10:04:36 UTC 2026","Create entity","files","",""
"","14","Get file with incorrect file id","LMS service","Thu Feb 05 10:04:40 UTC 2026","passed","Thu Feb 05 10:04:40 UTC 2026","TestsFiles","files","",""
"","282","Create user with example.com","LMS service","Thu Feb 05 10:04:40 UTC 2026","passed","Thu Feb 05 10:04:41 UTC 2026","TestUser","users","",""
"","12","Get file","LMS service","Thu Feb 05 10:04:37 UTC 2026","passed","Thu Feb 05 10:04:37 UTC 2026","TestsFiles","files","",""
"","18","Delete exercise","LMS service","Thu Feb 05 10:04:35 UTC 2026","passed","Thu Feb 05 10:04:35 UTC 2026","TestExercises","exercises","",""
"","25","Get courses","Administration service","Thu Feb 05 10:04:32 UTC 2026","passed","Thu Feb 05 10:04:32 UTC 2026","TestCourses","courses","",""
"","19","Create exercise","LMS service","Thu Feb 05 10:04:33 UTC 2026","passed","Thu Feb 05 10:04:33 UTC 2026","TestExercises","exercises","",""
"","30","Update course","Administration service","Thu Feb 05 10:04:31 UTC 2026","passed","Thu Feb 05 10:04:31 UTC 2026","TestCourses","courses","",""
